Neighbourhood,Average Household Income Before Taxes,Median Household Income Before Taxes,Average Household Income After Taxes,Median Household Income After Taxes
Toronto,109480,78378,87993,68627
Agincourt/Malvern,80147,68108,71025,62304
Ajax/Pickering,115659,98363,94805,84664
Alderwood,102434,83249,84163,73039
Aurora,147604,106761,113594,90592
Banbury-Don Mills/York Mills,245866,90620,168106,76046
Bathurst Manor,95977,69634,79185,62172
Bay Street Corridor,85657,48737,65786,44028
Bayview Village,96616,67355,76983,58341
Bayview Woods-Steeles/Hillcrest Village,96267,74082,79794,65844
Bedford Park-Nortown,252266,116672,175773,98522
Beechborough-Greenbrook,62740,45211,54624,42083
Bendale,71591,60292,62300,54318
Birchcliffe-Cliffside,103715,73216,82242,63646
Black Creek,63139,51999,57082,48751
Bradford/West Gwillimbury/New Tecumseth,101517,89301,84617,76494
Brampton (East),99581,87156,86211,77658
Brampton (West),98329,87335,84188,76862
Briar Hill-Belgravia,71541,60899,62405,53943
Broadview North,74786,52731,62096,47648
Bronte,136796,104867,105737,87878
Brookhaven-Amesbury,67742,52988,59434,48784
Cabbagetown-South St. James Town,97459,61184,75976,52865
Caledon,137519,113664,109042,96428
Caledonia-Fairbank,76713,66048,66697,58691
Casa Loma,285999,93022,199378,77490
Churchill Meadows/Erin Mills,118999,96578,97453,83181
Church-Yonge Corridor,77235,56366,62037,49285
Clairlea-Birchmount,80331,68524,69513,61368
Clanton Park,101821,69997,83263,62017
Clarkson/Lorne Park,143461,91601,109484,78436
Cliffcrest,94658,75291,77040,66088
Cooksville,89098,65001,74358,58225
Crescent Town,57135,46669,50794,43544
Danforth Village-East York,100060,81253,81962,69968
Don Valley Village/Pleasant View,82627,65714,70731,59368
Dorset Park,68617,57986,60703,52823
Dovercourt/Davenport/Junction,80325,65167,68435,58332
Downsview,69508,56053,61524,51722
Dufferin Grove/Little Portugal,79651,63479,66579,55924
East End-Danforth,98165,69026,78737,60377
East Gwillimbury/Newmarket,118812,98005,96057,83782
Edenbridge-Humber Valley,203189,84113,144418,71988
Eglinton East,64507,53081,57703,49086
Elms-Old Rexdale,71345,59576,63156,55308
Englemount-Lawrence,93525,58003,77541,52174
Eringate-Centennial-West Deane,103931,88872,86744,77502
Etobicoke West Mall,98961,72429,80527,62970
Flemingdon Park,59208,48917,52914,45910
Forest Hill North,159724,70920,117830,61360
Forest Hill South,473219,119484,327638,98525
Georgina,92688,81554,77888,70480
Guildwood,106787,87538,87898,75895
Henry Farm,70357,56644,59852,51098
High Park North/Junction,102853,73547,82111,63424
High Park-Swansea,125669,82753,96836,69304
Humber Heights-Westmount,91737,68996,76669,60653
Humewood-Cedarvale,112354,61110,86327,54557
Ionview,63825,53177,56645,49000
Islington/City Centre North,98226,69274,79046,60262
Islington/City Centre South,102170,80395,82589,68401
Keelesdale-Eglinton West,70938,57780,62023,53029
Kennedy Park,63615,51028,56354,46107
Kensington-Chinatown,67445,44216,56342,40758
Kingsview Village-The Westway,79031,60824,67766,54456
Kingsway South,294913,151552,198998,119582
Lambton Baby Point,136905,93586,105023,79106
L'Amoreaux/Steeles/Milliken,77309,62871,68190,57879
Lansing-Westgate,142669,80384,108226,69011
Lawrence Park North,222786,144963,157696,117622
Lawrence Park South,344703,151885,227374,118255
Leaside-Bennington,249071,126930,169558,105554
Little Italy/Trinity-Bellwoods,108013,71812,86265,63335
Long Branch,83336,61536,68551,54280
Malton,72040,61297,64824,56547
Maple Leaf,83171,62976,71623,57288
Markham,113087,89111,92943,78508
Meadowvale,112325,98166,93460,84431
